Settings,url
high-low,https://github.com/ToszaPlaskovickaja/Term_paper/blob/master/data/10030--скучать--MVI_1147.mp4?raw=true
contra-ipsi,https://github.com/ToszaPlaskovickaja/Term_paper/blob/master/data/10093--система мониторинга--MVI_1265.mp4?raw=true
contra-ipsi,https://github.com/ToszaPlaskovickaja/Term_paper/blob/master/data/10170--двигаться--MVI_1360.mp4?raw=true
NA,https://github.com/ToszaPlaskovickaja/Term_paper/blob/master/data/10201--мямлить--MVI_1402.mp4?raw=true
far-near,https://github.com/ToszaPlaskovickaja/Term_paper/blob/master/data/10221--должен--MVI_1425.mp4?raw=true
low-high,https://github.com/ToszaPlaskovickaja/Term_paper/blob/master/data/10244--назвать--MVI_1454.mp4?raw=true
contra-ipsi,https://github.com/ToszaPlaskovickaja/Term_paper/blob/master/data/10250--рассказывать--MVI_1463.mp4?raw=true
low-high,https://github.com/ToszaPlaskovickaja/Term_paper/blob/master/data/10281--тошнить--MVI_1500.mp4?raw=true
near-far,"https://github.com/ToszaPlaskovickaja/Term_paper/blob/master/data/10307--игнорировать, не обращать внимания--MVI_1531.mp4?raw=true"
high-low,https://github.com/ToszaPlaskovickaja/Term_paper/blob/master/data/10386--кивать--MVI_1636.mp4?raw=true
NA,https://github.com/ToszaPlaskovickaja/Term_paper/blob/master/data//10426--записывать--MVI_1697.mp4?raw=true
near-far,https://github.com/ToszaPlaskovickaja/Term_paper/blob/master/data/10524--оскорблять--MVI_1830.mp4?raw=true
near-far,https://github.com/ToszaPlaskovickaja/Term_paper/blob/master/data/10524--оскорблять--MVI_1829.mp4?raw=true
low-high,https://github.com/ToszaPlaskovickaja/Term_paper/blob/master/data//10529--предлагать--MVI_1836.mp4?raw=true
NA,https://github.com/ToszaPlaskovickaja/Term_paper/blob/master/data//10564--пропустить--MVI_1891.mp4?raw=true
near-far,https://github.com/ToszaPlaskovickaja/Term_paper/blob/master/data//10592--открыть бутылку--MVI_1933.mp4?raw=true
NA,"https://github.com/ToszaPlaskovickaja/Term_paper/blob/master/data/10609--подавлять, унижать--MVI_1952.mp4?raw=true"
proxi-distal,https://github.com/ToszaPlaskovickaja/Term_paper/blob/master/data//10667--ориентироваться--MVI_2027.mp4?raw=true
high-low,https://github.com/ToszaPlaskovickaja/Term_paper/blob/master/data//10677--происходить--MVI_2037.mp4?raw=true
far-near,https://github.com/ToszaPlaskovickaja/Term_paper/blob/master/data//10697--должен--MVI_2065.mp4?raw=true
far-near,https://github.com/ToszaPlaskovickaja/Term_paper/blob/master/data/10738--перехлестывать--MVI_2117.mp4?raw=true
x-y,https://github.com/ToszaPlaskovickaja/Term_paper/blob/master/data/10743--нападать--MVI_2122.mp4?raw=true
far-near,https://github.com/ToszaPlaskovickaja/Term_paper/blob/master/data/10782--шлепать по попе--MVI_2178.mp4?raw=true
proxi-distal,https://github.com/ToszaPlaskovickaja/Term_paper/blob/master/data/10927--миновать--MVI_2385.mp4?raw=true
proxi-distal,https://github.com/ToszaPlaskovickaja/Term_paper/blob/master/data/10928--пройти мимо кого-то в коридоре--MVI_2386.mp4?raw=true
far-near,https://github.com/ToszaPlaskovickaja/Term_paper/blob/master/data/10975--платить--MVI_2449.mp4?raw=true
contra-ipsi,https://github.com/ToszaPlaskovickaja/Term_paper/blob/master/data/10979--плата кредитной картой--MVI_2453.mp4?raw=true
far-near,"https://github.com/ToszaPlaskovickaja/Term_paper/blob/master/data/11002--клюнуть, клевать--MVI_2477.mp4?raw=true"
high-low,https://github.com/ToszaPlaskovickaja/Term_paper/blob/master/data/11017--моча--MVI_2499.mp4?raw=true
far-near,https://github.com/ToszaPlaskovickaja/Term_paper/blob/master/data//11018--взглянуть--MVI_2500.mp4?raw=true
low-high,https://github.com/ToszaPlaskovickaja/Term_paper/blob/master/data//11029--наказывать--MVI_2514.mp4?raw=true
far-near,https://github.com/ToszaPlaskovickaja/Term_paper/blob/master/data/11041--вмешиваться--MVI_2537.mp4?raw=true
proxi-distal,https://github.com/ToszaPlaskovickaja/Term_paper/blob/master/data/11073--выполнять--MVI_2577.mp4?raw=true
proxi-distal,"https://github.com/ToszaPlaskovickaja/Term_paper/blob/master/data/11114--убеждать, уговаривать--MVI_2640.mp4?raw=true"
far-near,https://github.com/ToszaPlaskovickaja/Term_paper/blob/master/data/11157--фотография--фотография.mp4?raw=true
far-near,https://github.com/ToszaPlaskovickaja/Term_paper/blob/master/data//11190--протыкать--протыкать.mp4?raw=true
ipsi-contra,https://github.com/ToszaPlaskovickaja/Term_paper/blob/master/data/11191--собирать--собирать.mp4?raw=true
low-high,https://github.com/ToszaPlaskovickaja/Term_paper/blob/master/data/11192--забирать--забирать.mp4?raw=true
