Sign,segment,url,FingerSelection,Aperture,Curve,Bent,Width,Facing,Focus,Dynamic Orientation,Location,Plane,Settings,Path,Paddle,H2 FingerSelection,H2 Aperture,H2 Curve,H2 Bent,H2 Width,H2 Facing,H2 Focus,H2 Dynamic Orientation,H2 Location,H2 Plane,H2 Settings,H2 Path,H2 Paddle,manner_tense,manner_repeated,manner_laceration,manner_symmetrical,manner_alternating,manner_biderectional,file,labeled_url,iconic,Anna_Klezovich_comments
оскорбить_II,1,https://github.com/ToszaPlaskovickaja/Term_paper/blob/master/data/10524--оскорблять--MVI_1830.mp4?raw=true,[1-st],open-closed,straight-curved,straight-bent,,tips,back,,head-low,,near-far,straight,,,,,,,,,,,,,,,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,оскорблять,<a href='https://github.com/ToszaPlaskovickaja/Term_paper/blob/master/data/10524--оскорблять--MVI_1830.mp4?raw=true' target='_blank'>оскорбить</a>,non iconic,
оскорблять,1,https://github.com/ToszaPlaskovickaja/Term_paper/blob/master/data/10524--оскорблять--MVI_1829.mp4?raw=true,[1-st],,straight-curved,straight,,tips,back,,head-low,,near-far,straight,,[1-st],,straight-curved,straight,,tips,back,,head-low,,near-far,straight,,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,оскорблять,<a href='https://github.com/ToszaPlaskovickaja/Term_paper/blob/master/data/10524--оскорблять--MVI_1829.mp4?raw=true' target='_blank'>оскорблять</a>,non iconic,
происходить,1,https://github.com/ToszaPlaskovickaja/Term_paper/blob/master/data//10677--происходить--MVI_2037.mp4?raw=true,[1-st],closed-open,curved-straight,bent-straight,,palm,tips,,hand-back,parallel,"high-low,contra-ipsi",straight,,,,,,,back,,,,,,,,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,происходить,<a href='https://github.com/ToszaPlaskovickaja/Term_paper/blob/master/data//10677--происходить--MVI_2037.mp4?raw=true' target='_blank'>происходить</a>,non iconic,
происходить,2,https://github.com/ToszaPlaskovickaja/Term_paper/blob/master/data//10677--происходить--MVI_2037.mp4?raw=true,[1-st],closed-open,curved-straight,bent-straight,,palm,radial,,hand-back,parallel,"high-low,contra-ipsi",straight,,,,,,,back,,,,,,,,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,происходить,<a href='https://github.com/ToszaPlaskovickaja/Term_paper/blob/master/data//10677--происходить--MVI_2037.mp4?raw=true' target='_blank'>происходить</a>,non iconic,
должен_II,1,https://github.com/ToszaPlaskovickaja/Term_paper/blob/master/data//10697--должен--MVI_2065.mp4?raw=true,[1-st],,straight,straight,,palm,palm,,hand-palm,horisontal,"far-near,high-low",arc,,,,,,,back,,,,,,,,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,должен,<a href='https://github.com/ToszaPlaskovickaja/Term_paper/blob/master/data//10697--должен--MVI_2065.mp4?raw=true' target='_blank'>должен</a>,non iconic,
мочиться,1,https://github.com/ToszaPlaskovickaja/Term_paper/blob/master/data/11017--моча--MVI_2499.mp4?raw=true,[1-st],,straight,straight,,root,palm,,trunk,,high-low,straight,,,,,,,,,,,,,,,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,моча,<a href='https://github.com/ToszaPlaskovickaja/Term_paper/blob/master/data/11017--моча--MVI_2499.mp4?raw=true' target='_blank'>мочиться</a>,non iconic,это же существительное
писать,1,https://github.com/ToszaPlaskovickaja/Term_paper/blob/master/data/11251--писать--писать.mp4?raw=true,[1-st],,straight,straight,,root,tips,,trunk,,"near-far,high-low",straight,,,,,,,,,,,,,,,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,писать--писать,<a href='https://github.com/ToszaPlaskovickaja/Term_paper/blob/master/data/11251--писать--писать.mp4?raw=true' target='_blank'>писать</a>,iconic,
сядь,1,https://github.com/ToszaPlaskovickaja/Term_paper/blob/master/data/1999-Сядь! (2)_3g2_Output_136.mp4?raw=true,[1-st],,straight-curved,straight,pointed,palm,tips,,space,horisontal,proxi-distal,arc,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Сядь,<a href='https://github.com/ToszaPlaskovickaja/Term_paper/blob/master/data/1999-Сядь! (2)_3g2_Output_136.mp4?raw=true' target='_blank'>сядь</a>,iconic,
сопровождать,1,https://github.com/ToszaPlaskovickaja/Term_paper/blob/master/data/2669--сопровождать--MVI_1132_3g2_Output_629.mp4?raw=true,[1-st],,straight,straight,,root,ulnar,,space,horisontal,proxi-distal,straight,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,сопровождать,<a href='https://github.com/ToszaPlaskovickaja/Term_paper/blob/master/data/2669--сопровождать--MVI_1132_3g2_Output_629.mp4?raw=true' target='_blank'>сопровождать</a>,iconic,
разрешать,1,https://github.com/ToszaPlaskovickaja/Term_paper/blob/master/data/2970--позволять разрешать.mp4?raw=true,[1-st],closed,curved,,,ulnar,tips,,space,horisontal,proxi-distal,arc,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,позволять разрешать,<a href='https://github.com/ToszaPlaskovickaja/Term_paper/blob/master/data/2970--позволять разрешать.mp4?raw=true' target='_blank'>разрешать</a>,non iconic,
